run,zp
364584,21.39
364585,24.53
364586,23.89
364587,21.39
364588,24.53
364589,23.89
364602,21.39
364603,24.53
364604,23.89
364605,21.39
364606,24.53
364607,23.89
364614,21.39
364615,24.53
364616,23.89
364617,21.39
364618,24.53
364619,23.89
364670,21.39
364671,24.53
364672,23.89
364673,21.39
364674,24.53
364675,23.89
364682,21.39
364683,24.53
364684,23.89
364685,21.39
364686,24.53
364687,23.89
364688,21.39
364689,24.53
364690,23.89
364691,21.39
364692,24.53
364693,23.89
364700,21.39
364701,24.53
364702,23.89
364703,21.39
364704,24.53
364705,23.89
364718,21.39
364719,24.53
364720,23.89
364721,21.39
364722,24.53
364723,23.89
364730,21.39
364731,24.53
364732,23.89
364733,21.39
364734,24.53
364735,23.89
364736,21.39
364737,24.53
364738,23.89
364739,21.39
364740,24.53
364741,23.89
364742,21.39
364743,24.53
364744,23.89
364745,21.39
364746,24.53
364747,23.89
364748,21.39
364749,24.53
364750,23.89
364751,21.39
364752,24.53
364753,23.89
364754,21.39
364755,24.53
364756,23.89
364757,21.39
364758,24.53
364759,23.89
364802,21.39
364803,24.53
364804,23.89
364805,21.39
364806,24.53
364807,23.89
364808,21.39
364809,24.53
364810,23.89
364811,21.39
364812,24.53
364813,23.89
364814,21.39
364815,24.53
364816,23.89
364817,21.39
364818,24.53
364819,23.89
368709,21.37
368710,24.51
368711,23.91
368712,21.37
368713,24.51
368715,23.91
368716,21.37
368717,24.51
368718,23.91
368719,21.37
368720,24.51
368721,23.91
368722,21.37
368723,24.51
368724,23.91
368725,21.37
368726,24.51
368727,23.91
368734,21.37
368735,24.51
368736,23.91
368737,21.37
368738,24.51
368739,23.91
368740,21.37
368741,24.51
368742,23.91
368743,21.37
368744,24.51
368745,23.91
368746,21.37
368747,24.51
368748,23.91
368749,21.37
368750,24.51
368751,23.91
368752,21.37
368753,24.51
368754,23.91
368755,21.37
368756,24.51
368757,23.91
368764,21.37
368765,24.51
368766,23.91
368767,21.37
368768,24.51
368769,23.91
368770,21.37
368771,24.51
368772,23.91
368776,21.37
368777,24.51
368778,23.91
368779,21.37
368780,24.51
368781,23.91
368782,21.37
368783,24.51
368784,23.91
368785,21.37
368786,24.51
368787,23.91
368788,21.37
368789,24.51
368790,23.91
368791,21.37
368792,24.51
368793,23.91
368794,21.37
368795,24.51
368796,23.91
368797,21.37
368798,24.51
368799,23.91
368800,21.37
368801,24.51
368802,23.91
368804,21.37
368805,24.51
368806,23.91
368813,21.37
368814,24.51
368815,23.91
368816,21.37
368817,24.51
368818,23.91
368825,21.37
368826,24.51
368827,23.91
368828,21.37
368829,24.51
368830,23.91
368834,21.37
368835,24.51
368836,23.91
368837,21.37
368838,24.51
368839,23.91
368840,21.37
368841,24.51
368842,23.91
368843,21.37
368844,24.51
368845,23.91
368846,21.37
368847,24.51
368848,23.91
368849,21.37
368850,24.51
368851,23.91
368852,21.37
368853,24.51
368854,23.91
368855,21.37
368856,24.51
368857,23.91
368858,21.37
368859,24.51
368860,23.91
368861,21.37
368862,24.51
368863,23.91
368864,21.37
368865,24.51
368866,23.91
368867,21.37
368868,24.51
368869,23.91
368870,21.37
368871,24.51
368872,23.91
368873,21.37
368874,24.51
368875,23.91
368877,21.37
368879,24.51
368880,23.91
368881,21.37
368882,24.51
368883,23.91
368884,21.37
368885,24.51
368886,23.91
368887,21.37
368888,24.51
368889,23.91
368890,21.37
368891,24.51
368892,23.91
368893,21.37
368894,24.51
368895,23.91
368896,21.37
368897,24.51
368898,23.91
368899,21.37
368900,24.51
368901,23.91
368902,21.37
368903,24.51
368904,23.91
368905,21.37
368906,24.51
368907,23.91
368908,21.37
368910,24.51
368911,23.91
368912,21.37
368913,24.51
368914,23.91
368915,21.37
368916,24.51
368917,23.91
368918,21.37
368919,24.51
368920,23.91
368921,21.37
368922,24.51
368923,23.91
368924,21.37
368925,24.51
368926,23.91
368928,21.37
368929,24.51
368930,23.91
368931,21.37
368932,24.51
368933,23.91
368940,21.37
368941,24.51
368942,23.91
368943,21.37
368944,24.51
368945,23.91
368946,21.37
368947,24.51
368948,23.91
368949,21.37
368950,24.51
368951,23.91
368952,21.37
368953,24.51
368954,23.91
368955,21.37
368956,24.51
368957,23.91
368958,21.37
368959,24.51
368960,23.91
368961,21.37
368962,24.51
368963,23.91
368964,21.37
368965,24.51
368966,23.91
368977,21.37
368978,24.51
368979,23.91
368980,21.37
368981,24.51
368982,23.91
368983,21.37
368984,24.51
368985,23.91
369960,21.37
369961,24.51
369962,23.89
369963,21.37
369964,24.51
369965,23.89
369966,21.37
369967,24.51
369968,23.89
369969,21.37
369970,24.51
369971,23.89
369972,21.37
369973,24.51
369974,23.89
369975,21.37
369976,24.51
369977,23.89
369978,21.37
369979,24.51
369980,23.89
369991,21.37
369992,24.51
369993,23.89
369994,21.37
369995,24.51
369996,23.89
369997,21.37
369998,24.51
369999,23.89
370003,21.37
370004,24.51
370005,23.89
370006,21.37
370007,24.51
370008,23.89
370009,21.37
370010,24.51
370011,23.89
370012,21.37
370013,24.51
370014,23.89
370015,21.37
370016,24.51
370017,23.89
370018,21.37
370019,24.51
370020,23.89
370021,21.37
370022,24.51
370023,23.89
370024,21.37
370025,24.51
370026,23.89
370027,21.37
370028,24.51
370029,23.89
370030,21.37
370032,24.51
370033,23.89
370034,21.37
370035,24.51
370036,23.89
370037,21.37
370038,24.51
370039,23.89
370041,21.37
370042,24.51
370043,23.89
370044,21.37
370045,24.51
370046,23.89
370047,21.37
370048,24.51
370049,23.89
370050,21.37
370051,24.51
370052,23.89
370053,21.37
370054,24.51
370055,23.89
370056,21.37
370057,24.51
370058,23.89
370059,21.37
370060,24.51
370061,23.89
370062,21.37
370063,24.51
370064,23.89
370065,21.37
370066,24.51
370067,23.89
370068,21.37
370069,24.51
370070,23.89
370071,21.37
370072,24.51
370073,23.89
370074,21.37
370075,24.51
370076,23.89
370077,21.37
370078,24.51
370079,23.89
370080,21.37
370081,24.51
370082,23.89
370083,21.37
370084,24.51
370085,23.89
370092,21.37
370094,24.51
370095,23.89
370096,21.37
370097,24.51
370098,23.89
370099,21.37
370100,24.51
370101,23.89
370102,21.37
370103,24.51
370104,23.89
370105,21.37
370106,24.51
370107,23.89
370108,21.37
370109,24.51
370110,23.89
370111,21.37
370112,24.51
370113,23.89
370114,21.37
370115,24.51
370116,23.89
370117,21.37
370118,24.51
370119,23.89
370120,21.37
370121,24.51
370122,23.89
370123,21.37
370124,24.51
370125,23.89
370126,21.37
370127,24.51
370128,23.89
370129,21.37
370130,24.51
370131,23.89
370132,21.37
370133,24.51
370134,23.89
370135,21.37
370137,24.51
370138,23.89
370139,21.37
370140,24.51
370142,23.89
370149,21.37
370150,24.51
370151,23.89
370152,21.37
370153,24.51
370154,23.89
371405,21.36
371406,24.5
371407,23.88
371408,21.36
371409,24.5
371410,23.88
371514,21.36
371515,24.5
371516,23.88
371517,21.36
371518,24.5
371519,23.88
371520,21.36
371521,24.5
371522,23.88
371523,21.36
371524,24.5
371525,23.88
371526,21.36
371527,24.5
371528,23.88
371529,21.36
371530,24.5
371531,23.88
371532,21.36
371533,24.5
371534,23.88
371535,21.38
371536,24.52
371537,23.9
371538,21.38
371539,24.52
371540,23.9
371541,21.38
371542,24.52
371543,23.9
371545,21.38
371546,24.52
371547,23.9
371548,21.38
371549,24.52
371550,23.9
371551,21.38
371552,24.52
371553,23.9
371554,21.38
371555,24.52
371556,23.9
371557,21.38
371558,24.52
371559,23.9
371560,21.38
371561,24.52
371562,23.9
371563,21.38
371564,24.52
371565,23.9
371566,21.38
371567,24.52
371568,23.9
371575,21.38
371576,24.52
371577,23.9
371578,21.38
371579,24.52
371580,23.9
371587,21.38
371588,24.52
371589,23.9
371590,21.38
371591,24.52
371592,23.9
371593,21.38
371594,24.52
371595,23.9
371596,21.38
371597,24.52
371598,23.9
371605,21.38
371606,24.52
371607,23.9
371608,21.38
371609,24.52
371610,23.9
371611,21.38
371612,24.52
371613,23.9
371614,21.38
371615,24.52
371616,23.9
371617,21.38
371618,24.52
371619,23.9
371620,21.38
371621,24.52
371622,23.9
371623,21.38
371624,24.52
371625,23.9
371626,21.38
371627,24.52
371628,23.9
371629,21.38
371630,24.52
371631,23.9
371632,21.38
371633,24.52
371634,23.9
371635,21.38
371636,24.52
371637,23.9
371638,21.38
371639,24.52
371640,23.9
371641,21.38
371642,24.52
371643,23.9
371644,21.38
371645,24.52
371646,23.9
371647,21.38
371648,24.52
