run,zp
358851,21.22
358863,21.22
358866,21.22
358869,21.22
358872,21.22
358876,21.22
358879,21.22
358882,21.22
358888,21.22
358891,21.22
358894,21.22
358897,21.22
358900,21.22
358903,21.22
358906,21.22
358915,21.22
358918,21.22
358921,21.22
358924,21.22
358927,21.22
358930,21.22
358933,21.22
358936,21.22
358939,21.22
358944,21.22
358947,21.22
358950,21.22
358953,21.22
358956,21.22
358959,21.22
358962,21.22
358965,21.22
358968,21.22
358971,21.22
358974,21.22
358977,21.22
358980,21.22
358983,21.22
358992,21.22
358989,21.22
358995,21.22
358998,21.22
359001,21.22
359004,21.22
359007,21.22
359010,21.22
359016,21.22
359019,21.22
359022,21.22
359025,21.22
359028,21.22
359031,21.22
359034,21.22
359043,21.22
359046,21.22
359049,21.22
359052,21.22
359055,21.22
359058,21.22
359061,21.22
359064,21.22
359067,21.22
359074,21.22
359077,21.22
359080,21.22
359083,21.22
359086,21.22
359089,21.22
359092,21.22
359095,21.22
359098,21.22
359101,21.22
359104,21.22
359113,21.22
359116,21.22
359119,21.22
359122,21.22
359125,21.22
359128,21.22
359131,21.22
359134,21.22
359209,21.38
359212,21.38
359215,21.38
359218,21.38
359222,21.38
359225,21.38
359228,21.38
359231,21.38
359240,21.38
359243,21.38
359246,21.38
359249,21.38
359252,21.38
359255,21.38
359258,21.38
359261,21.38
359264,21.38
359267,21.38
359270,21.38
359273,21.38
359282,21.38
359285,21.38
359288,21.38
359291,21.38
359294,21.38
359297,21.38
359300,21.38
359303,21.38
359306,21.38
359312,21.38
359315,21.38
359318,21.38
359321,21.38
359324,21.38
359327,21.38
359330,21.38
359336,21.38
359339,21.38
359342,21.38
359345,21.38
359348,21.38
359351,21.38
359354,21.38
359357,21.38
359366,21.38
359369,21.38
359372,21.38
359375,21.38
359378,21.38
359381,21.38
359384,21.38
359387,21.38
359390,21.38
359393,21.38
359396,21.38
359399,21.38
359408,21.38
359411,21.38
359414,21.38
359417,21.38
359420,21.38
359423,21.38
359426,21.38
359429,21.38
359432,21.38
359438,21.38
359441,21.38
359444,21.38
359447,21.38
359450,21.38
359453,21.38
359550,21.32
359553,21.32
359556,21.32
359559,21.32
359562,21.32
359571,21.32
359568,21.32
359575,21.32
359578,21.32
359581,21.32
359584,21.32
359587,21.32
359590,21.32
359596,21.32
359599,21.32
359602,21.32
359605,21.32
359609,21.32
359612,21.32
359615,21.32
359624,21.32
359627,21.32
359630,21.32
359633,21.32
359636,21.32
359639,21.32
359642,21.32
359645,21.32
359648,21.32
359657,21.32
359654,21.32
359660,21.32
359664,21.32
359667,21.32
359670,21.32
359673,21.32
359677,21.32
359680,21.32
359683,21.32
359686,21.32
359689,21.32
359692,21.32
359701,21.32
359698,21.32
359704,21.32
359707,21.32
359710,21.32
359713,21.32
359716,21.32
359725,21.32
359728,21.32
359731,21.32
