mag,mean,std
12,0.0341445922851562,0.0383139600894389
12.5,0.026129006743729,0.0198861048103996
13,0.0261349613131339,0.0222620570027774
13.5,0.026402817136106,0.0234630183331727
14,0.0267085855512949,0.0270415698999773
14.5,0.0270796521505214,0.0292894336755979
15,0.0273453488737725,0.0263264343496218
15.5,0.0278809213766329,0.0288155235454282
16,0.0286281690095958,0.0311390211529632
16.5,0.0296238766031165,0.03090804935286
17,0.0315944705191814,0.0334370547780263
17.5,0.0353283900309556,0.0363978144966599
18,0.0423974627257021,0.0435479087546372
18.5,0.0549622631265759,0.053936691513623
19,0.0728228792760242,0.0683641760195625
19.5,0.0922383068673126,0.0828429528256645
20,0.108267036535601,0.0942524295832991
20.5,0.126687732935655,0.110499968514606
