mag,mean,std
11.5,0.0189655092027452,0.0130119130970004
12,0.0257851540471037,0.0196810549678212
12.5,0.0245661439121201,0.0208951813097849
13,0.0242725819720949,0.024605046220846
13.5,0.0242211828254292,0.0285393932728201
14,0.0249147664494172,0.0246651193282447
14.5,0.0254027254744652,0.0256970239328496
15,0.0260203663694083,0.0260024428238758
15.5,0.0267241001677879,0.0273219386336853
16,0.0276365591945802,0.0287084966478998
16.5,0.029042279932563,0.0304105696571337
17,0.0314660653428095,0.0323920005540036
17.5,0.0361714493876082,0.0361774982096613
18,0.0446564330996268,0.0426853640541543
18.5,0.0575906385523147,0.0524814659330301
19,0.0740795374746536,0.0641945840233638
19.5,0.09471019424683,0.0787479034633419
20,0.125654139711211,0.099370688221319
