mag,mean,std
9.5,0.256525039672852,
10,0.128427327689478,0.0929234865743393
10.5,0.112711610145939,0.478496360462848
11,0.0778299449613596,0.32379758098301
11.5,0.0367944241009291,0.0519061173616795
12,0.0286673335842732,0.0470733607775613
12.5,0.025525421573922,0.0333638147200848
13,0.0254426294295978,0.0322109601356761
13.5,0.0259740047127528,0.0362868705090304
14,0.0266785175674404,0.038745873301587
14.5,0.0274373062907548,0.0423788760378169
15,0.0283185233677893,0.0405100268118072
15.5,0.0292653922408329,0.0407406798918743
16,0.0305804509315764,0.0434215627189783
16.5,0.0325485262558983,0.0476261239171819
17,0.0355538246958692,0.0508255591795602
17.5,0.0410095152143792,0.0570747163458327
18,0.0502850622967295,0.0619281958271351
18.5,0.0660218307184218,0.0722152102767955
19,0.0908648151377898,0.0893829170530781
19.5,0.125352202738639,0.112730641713043
20,0.167406973337802,0.140954195939902
20.5,0.217303292972729,0.172164456188021
21,0.328469773526122,0.232481271753511
21.5,0.591397605320524,0.334715006728523
22,1.06427533249884,0.488907749408449
22.5,1.49388469609999,0.515542324843983
23,1.34038543701172,
