mag,mean,std
9,0.000417081338431065,2.0534128834624e-05
9.5,0.000418442109433784,3.33159739057964e-05
10,0.000427001570540996,3.83587607661245e-05
10.5,0.000456146169218615,5.18174268794252e-05
11,0.000585899873164641,6.0508406791032e-05
11.5,0.000785656284596937,9.34048435136041e-05
12,0.000951947019930743,0.000118066753695769
12.5,0.00118250821646498,0.000150020299248923
13,0.00148326987935774,0.000183292628496452
13.5,0.00186416603679867,0.000231784332263642
14,0.00236686917260641,0.000304559429357781
14.5,0.00303265392509468,0.000409072176350189
15,0.00392155174258479,0.000567284812037947
15.5,0.00513615028172392,0.00082281639966813
16,0.00684195738203403,0.00124945053554771
16.5,0.00930768917403796,0.00196070429706264
17,0.0129707719886018,0.00314628060122947
17.5,0.0185501116455338,0.00511014523934614
18,0.0271733145616597,0.00828004130254924
18.5,0.0405630512562827,0.0132393147891322
19,0.0614548935795554,0.0212064960034182
19.5,0.0935047780927304,0.0314371848845741
20,0.135993111447233,0.0380953703796276
20.5,0.182544873946392,0.0412574903346326
21,0.242870512306581,0.0491629758876499
21.5,0.339581422172128,0.0695370451743832
22,0.52732259093337,0.124437986836403
22.5,0.846712669800365,0.157575828944428
23,1.08007056379514,0.0762143037199406
