mag,mean,std
9,0.000394130424995508,1.5079014891172e-05
9.5,0.000416698199254562,3.18864645681788e-05
10,0.000425096157373801,3.71985974583553e-05
10.5,0.000483069028826042,5.0941394987817e-05
11,0.000615562451839995,8.87235663073153e-05
11.5,0.000810204792596943,0.000110784085497957
12,0.000984409644263422,0.000140812133507009
12.5,0.00123406308450417,0.000174840614404253
13,0.00155028612389869,0.000219692102968416
13.5,0.00196104909972966,0.000281586512759963
14,0.00250165365347407,0.000368808067961929
14.5,0.00321758564011574,0.000492805289887977
15,0.00418206530576904,0.000678217959774641
15.5,0.00551771700126394,0.000971724663510556
16,0.00741971996463324,0.00144540193893136
16.5,0.0102095276078197,0.00222487438455955
17,0.0144112109211361,0.00350223532920178
17.5,0.0208670367459152,0.00557526328764183
18,0.0308815155353868,0.0088498939041839
18.5,0.0463984637093925,0.0138422539100989
19,0.0701001538226833,0.0211819667891926
19.5,0.105064825333638,0.0291699865907722
20,0.148442785965877,0.0313720890984554
20.5,0.191641238783781,0.0365459811741965
21,0.269366451231066,0.0635022913963551
21.5,0.426751427083738,0.0913617807019826
22,0.696626467093343,0.148107755157402
22.5,0.993354947803434,0.121677775262963
23,1.10918229818344,0.0743841688603091
