mag,mean,std
10,0.000398373726056889,
10.5,0.000409058499502149,2.58851711369132e-05
11,0.000448189998356964,3.86788578584615e-05
11.5,0.000465335836482283,7.59503429261811e-05
12,0.000532361701640333,0.000134790584359047
12.5,0.000629006713098165,0.000153788370216797
13,0.000768501159525743,0.000188620203283433
13.5,0.000963668304130294,0.000237923023097778
14,0.00121219746286215,0.000301325221259115
14.5,0.00154022272904717,0.000385145874201405
15,0.00197119015184704,0.00049616098817375
15.5,0.00254894221624235,0.000653448745747035
16,0.0033409788004432,0.000887204242869709
16.5,0.00445369371784687,0.00124902990663576
17,0.00606373987497089,0.00183017270457305
17.5,0.00845935805823642,0.00277821870243975
18,0.0121065766555148,0.00432516843105357
18.5,0.0177231359881672,0.00680114680394596
19,0.0264630309010122,0.0107305793578521
19.5,0.0399681569260902,0.0167937346985687
20,0.0606916894286606,0.0260730287206873
20.5,0.0906723828362129,0.0370300070567536
21,0.126759950225078,0.0429065036245446
21.5,0.16305842874832,0.041972716309837
22,0.204459960742649,0.0478745857049008
22.5,0.298437214150602,0.0682968085262391
23,0.443250115889457,0.111658008624844
23.5,0.708851830140063,0.161457102302142
24,0.993614322965658,0.112704755858847
24.5,1.13765847682953,
