RUN,CCD,CRVAL1,CRVAL2,CRPIX1,CRPIX2,CD1_1,CD1_2,CD2_1,CD2_2,REFRUN
455582,3,304.61139,34.245659,3882.5,2952.6,-1.5196531e-06,-9.2467693e-05,-9.248378e-05,1.5327529e-06,455583
459710,1,293.92615,11.88028,-312.93,3065.05,-1.2453319e-06,-9.2498201e-05,-9.2487651e-05,1.2848079e-06,459711
417960,3,342.68573,55.247856,3877.5,2998.05,-1.4480142e-06,-9.2474256e-05,-9.2489077e-05,1.4122089e-06,417959
455617,4,304.8038,33.327763,1802.35,3012.85,-1.3080239e-06,-9.240148e-05,-9.2377762e-05,1.2931196e-06,455619
374373,3,97.218735,3.7301407,3891.8,2996.95,-1.500722e-06,-9.2492715e-05,-9.2511582e-05,1.4474065e-06,374372
411261,2,288.51819,7.5803275,3169.5,1731.05,9.2416813e-05,-2.0290152e-07,-3.7597098e-07,-9.243816e-05,411263
411262,2,288.51819,7.5803275,3172.2,1730.6,9.2416813e-05,-2.0290152e-07,-3.7597098e-07,-9.243816e-05,411263
411263,2,288.51846,7.5802264,3177.95,1732.5,9.242184e-05,-2.2481765e-07,-3.5850437e-07,-9.2419781e-05,411262
455627,3,304.7312,36.180202,3869.2,2902.85,-1.5265682e-06,-9.2407205e-05,-9.2615398e-05,1.55746715e-06,455628
455628,3,304.72971,36.178955,3883.05,2917.6,-1.4923085e-06,-9.243487e-05,-9.2555609e-05,1.56081526e-06,455627
455626,3,304.7312,36.180202,3866.35,2902.85,-1.5065682e-06,-9.2367205e-05,-9.2555398e-05,1.55746715e-06,455628
455955,4,295.39343,22.063581,1796.95,3018.2,-1.3207093e-06,-9.2456321e-05,-9.2459421e-05,1.3042529e-06,455956
457751,4,293.32242,17.476669,1788.9,3016.2,-1.2482789e-06,-9.2475362e-05,-9.2462054e-05,1.2517782e-06,457752
457753,1,293.40735,17.558811,-310.18,3059.85,-1.2729455e-06,-9.2404205e-05,-9.2455572e-05,1.293309e-06,457755
457757,4,293.32205,18.944555,1777.6,3023.15,-1.240131e-06,-9.2459239e-05,-9.2455521e-05,1.2409599e-06,457758
457758,3,293.32587,18.942163,3897.0,2949.05,-1.4750171e-06,-9.2470407e-05,-9.2486916e-05,1.4521868e-06,457757
457825,3,293.76813,15.731479,3873.45,2956.95,-1.4904131e-06,-9.2408137e-05,-9.2480295e-05,1.4775413e-06,457827
459489,3,291.26932,8.4969606,3893.2,2938.25,-1.4768231e-06,-9.2467366e-05,-9.2491442e-05,1.4514237e-06,459488
460120,4,295.13611,12.713609,1774.8,3023.3,-1.2387512e-06,-9.2461189e-05,-9.2451541e-05,1.2237912e-06,460121
460263,3,318.6167,47.818256,3879.75,2943.45,-1.5145679e-06,-9.240227e-05,-9.249818e-05,1.5254376e-06,460265
460475,4,295.77216,23.165937,1788.2,3008.45,-1.2391191e-06,-9.2412261e-05,-9.244727e-05,1.2427319e-06,460477
460519,3,295.96677,23.714779,3905.3,2937.85,-1.4998072e-06,-9.2475784e-05,-9.2497372e-05,1.4894222e-06,460518
460715,3,296.98221,20.681429,3888.8,2945.5,-1.462307e-06,-9.2404937e-05,-9.2495036e-05,1.4445342e-06,460717
460817,3,319.14066,52.39677,3893.15,2930.05,-1.5123535e-06,-9.242382e-05,-9.2509894e-05,1.4778415e-06,460819
461203,4,319.76398,52.499428,1782.7,3013.35,-1.2783601e-06,-9.2464616e-05,-9.2451919e-05,1.2618867e-06,461202
461349,3,297.67862,27.19689,3905.7,2948.4,-1.4581821e-06,-9.2410877e-05,-9.2499424e-05,1.4480001e-06,461351
461353,3,297.7724,27.28261,3879.4,2943.4,-1.4582794e-06,-9.24786e-05,-9.2496361e-05,1.4581387e-06,461354
461516,3,320.84088,49.832527,3879.0,2951.85,-1.5001522e-06,-9.2465794e-05,-9.2486371e-05,1.4953862e-06,461515
462420,1,346.39386,61.66473,-330.47,3062.55,-1.2514582e-06,-9.2424712e-05,-9.2480645e-05,1.2883406e-06,462422
462657,3,346.91766,57.080093,3898.95,2937.9,-1.4446064e-06,-9.2410332e-05,-9.2508839e-05,1.4469698e-06,462659
462696,1,347.30994,59.547977,-328.51,3058.75,-1.296316e-06,-9.2416196e-05,-9.2488553e-05,1.2764704e-06,462698
